datetime,temperature,humidity
2025-08-28T00:00,23.1,93
2025-08-28T01:00,22.9,94
2025-08-28T02:00,23.0,94
2025-08-28T03:00,23.1,93
2025-08-28T04:00,23.4,92
2025-08-28T05:00,23.5,92
2025-08-28T06:00,23.9,91
2025-08-28T07:00,24.2,88
2025-08-28T08:00,24.5,87
2025-08-28T09:00,24.7,90
2025-08-28T10:00,25.0,90
2025-08-28T11:00,24.0,91
2025-08-28T12:00,23.9,93
2025-08-28T13:00,23.7,93
2025-08-28T14:00,23.4,92
2025-08-28T15:00,23.2,93
2025-08-28T16:00,23.0,94
2025-08-28T17:00,23.0,95
2025-08-28T18:00,23.1,95
2025-08-28T19:00,23.1,94
2025-08-28T20:00,23.0,94
2025-08-28T21:00,22.9,94
2025-08-28T22:00,22.8,94
2025-08-28T23:00,22.7,93
2025-08-29T00:00,22.5,93
2025-08-29T01:00,22.4,93
2025-08-29T02:00,22.8,92
2025-08-29T03:00,23.6,89
2025-08-29T04:00,24.7,84
2025-08-29T05:00,26.2,77
2025-08-29T06:00,27.1,72
2025-08-29T07:00,27.9,69
2025-08-29T08:00,28.5,66
2025-08-29T09:00,28.4,69
2025-08-29T10:00,28.2,71
2025-08-29T11:00,27.5,73
2025-08-29T12:00,27.1,75
2025-08-29T13:00,26.0,81
2025-08-29T14:00,25.1,86
2025-08-29T15:00,24.6,88
2025-08-29T16:00,24.2,87
2025-08-29T17:00,23.9,88
2025-08-29T18:00,23.6,89
2025-08-29T19:00,23.3,90
2025-08-29T20:00,23.3,90
2025-08-29T21:00,23.1,92
2025-08-29T22:00,22.8,93
2025-08-29T23:00,22.8,93
2025-08-30T00:00,22.6,94
2025-08-30T01:00,22.6,95
2025-08-30T02:00,23.3,92
2025-08-30T03:00,24.2,87
2025-08-30T04:00,25.3,81
2025-08-30T05:00,26.4,75
2025-08-30T06:00,27.4,71
2025-08-30T07:00,28.4,67
2025-08-30T08:00,28.8,65
2025-08-30T09:00,29.5,62
2025-08-30T10:00,29.4,62
2025-08-30T11:00,29.1,65
2025-08-30T12:00,28.2,70
2025-08-30T13:00,26.8,78
2025-08-30T14:00,25.7,83
2025-08-30T15:00,25.1,86
2025-08-30T16:00,24.7,87
2025-08-30T17:00,24.4,88
2025-08-30T18:00,24.1,88
2025-08-30T19:00,23.8,90
2025-08-30T20:00,23.6,91
2025-08-30T21:00,23.4,92
2025-08-30T22:00,23.2,93
2025-08-30T23:00,23.2,91
2025-08-31T00:00,23.0,90
2025-08-31T01:00,23.2,89
2025-08-31T02:00,23.6,88
2025-08-31T03:00,24.3,85
2025-08-31T04:00,25.4,80
2025-08-31T05:00,26.8,74
2025-08-31T06:00,27.9,69
2025-08-31T07:00,28.5,66
2025-08-31T08:00,28.9,64
2025-08-31T09:00,29.0,64
2025-08-31T10:00,28.8,65
2025-08-31T11:00,28.3,68
2025-08-31T12:00,27.6,71
2025-08-31T13:00,26.8,76
2025-08-31T14:00,25.8,81
2025-08-31T15:00,25.0,86
2025-08-31T16:00,24.6,89
2025-08-31T17:00,24.3,90
2025-08-31T18:00,24.1,91
2025-08-31T19:00,23.9,91
2025-08-31T20:00,23.7,91
2025-08-31T21:00,23.5,91
2025-08-31T22:00,23.3,91
2025-08-31T23:00,23.1,91
2025-09-01T00:00,23.1,90
2025-09-01T01:00,23.3,89
2025-09-01T02:00,23.7,87
2025-09-01T03:00,24.3,84
2025-09-01T04:00,25.5,78
2025-09-01T05:00,27.0,71
2025-09-01T06:00,28.1,66
2025-09-01T07:00,28.6,64
2025-09-01T08:00,28.8,63
2025-09-01T09:00,28.8,64
2025-09-01T10:00,28.6,65
2025-09-01T11:00,28.2,68
2025-09-01T12:00,27.7,71
2025-09-01T13:00,26.7,76
2025-09-01T14:00,25.6,82
2025-09-01T15:00,24.7,86
2025-09-01T16:00,24.3,88
2025-09-01T17:00,24.1,88
2025-09-01T18:00,23.9,88
2025-09-01T19:00,23.8,89
2025-09-01T20:00,23.6,89
2025-09-01T21:00,23.4,89
2025-09-01T22:00,23.1,90
2025-09-01T23:00,22.7,90
2025-09-02T00:00,22.6,90
2025-09-02T01:00,22.8,89
2025-09-02T02:00,23.3,87
2025-09-02T03:00,24.1,84
2025-09-02T04:00,25.2,80
2025-09-02T05:00,26.6,75
2025-09-02T06:00,27.7,71
2025-09-02T07:00,28.2,70
2025-09-02T08:00,28.5,71
2025-09-02T09:00,28.4,72
2025-09-02T10:00,28.1,74
2025-09-02T11:00,27.5,76
2025-09-02T12:00,26.8,79
2025-09-02T13:00,26.0,83
2025-09-02T14:00,25.1,88
2025-09-02T15:00,24.5,91
2025-09-02T16:00,24.2,92
2025-09-02T17:00,24.1,93
2025-09-02T18:00,24.0,93
2025-09-02T19:00,23.8,93
2025-09-02T20:00,23.6,93
2025-09-02T21:00,23.4,93
2025-09-02T22:00,23.2,93
2025-09-02T23:00,23.1,93
2025-09-03T00:00,23.1,92
2025-09-03T01:00,23.2,91
2025-09-03T02:00,23.5,89
2025-09-03T03:00,24.1,86
2025-09-03T04:00,25.2,81
2025-09-03T05:00,26.6,75
2025-09-03T06:00,27.7,70
2025-09-03T07:00,28.4,66
2025-09-03T08:00,28.9,64
2025-09-03T09:00,29.0,63
2025-09-03T10:00,28.7,65
2025-09-03T11:00,28.1,69
2025-09-03T12:00,27.4,73
2025-09-03T13:00,26.6,77
2025-09-03T14:00,25.7,81
2025-09-03T15:00,25.0,84
2025-09-03T16:00,24.5,87
2025-09-03T17:00,24.1,89
2025-09-03T18:00,23.8,91
2025-09-03T19:00,23.6,92
